latitude,longitude,shock
51.1090383,17.0294100,0
51.1144683,17.0477400,0
51.1144650,17.0477400,0
51.1144583,17.0477400,0
51.1144566,17.0477366,0
51.1144500,17.0477483,0
51.1144266,17.0477383,0
51.1144266,17.0477300,0
51.1144100,17.0476766,2760
51.1144383,17.0476216,8147
51.1144783,17.0475550,7102
51.1145066,17.0474616,5041
51.1145200,17.0473483,4324
51.1145816,17.0472216,5779
51.1146200,17.0470900,6808
51.1146116,17.0469616,6733
51.1145483,17.0468433,8904
51.1145316,17.0467033,1657
51.1144816,17.0465133,9388
51.1144183,17.0463416,8143
51.1148250,17.0441683,0
51.1148733,17.0440700,10227
51.1147933,17.0437916,10286
51.1147433,17.0435400,9860
51.1147883,17.0433216,3882
51.1148933,17.0430549,8111
51.1149450,17.0428216,3821
51.1149200,17.0425800,8977
51.1149316,17.0423616,6020
51.1149133,17.0421333,8515
51.1149316,17.0419500,1582
51.1149983,17.0417516,7590
51.1150466,17.0415416,12095
51.1150966,17.0413233,6065
51.1151333,17.0411483,4027
51.1151133,17.0410016,1359
51.1150800,17.0408950,5498
51.1149466,17.0407883,9468
51.1148600,17.0407116,5967
51.1147666,17.0406650,9665
51.1137650,17.0399049,0
51.1137650,17.0399049,921
51.1136683,17.0398383,0
51.1136150,17.0398300,0
51.1136016,17.0398300,0
51.1135883,17.0398150,0
51.1135766,17.0398100,0
51.1135683,17.0398083,0
51.1135650,17.0398066,0
51.1135600,17.0398083,0
51.1135616,17.0398100,0
51.1135650,17.0398116,0
51.1135650,17.0398116,0
51.1135716,17.0398050,0
51.1135733,17.0398066,0
51.1135750,17.0398116,0
51.1135700,17.0398100,0
51.1135633,17.0398150,0
51.1135566,17.0398200,0
51.1135500,17.0398233,0
51.1135483,17.0398233,0
51.1135483,17.0398250,0
51.1135516,17.0398250,0
51.1135566,17.0398283,0
51.1135650,17.0398316,0
51.1135733,17.0398383,0
51.1135850,17.0398466,0
51.1135850,17.0398400,978
51.1135616,17.0398100,1353
51.1135216,17.0397700,7665
51.1134633,17.0397200,10034
51.1134200,17.0396583,0
51.1133483,17.0395950,0
51.1132750,17.0395350,998
51.1131950,17.0394916,0
51.1130516,17.0394300,0
51.1128833,17.0393816,2013
51.1127266,17.0393566,2937
51.1125666,17.0393183,0
51.1124016,17.0393200,0
51.1122216,17.0392900,0
51.1120050,17.0392350,918
51.1118450,17.0391866,4759
51.1116450,17.0391166,0
51.1115233,17.0390066,0
51.1114383,17.0388150,1245
51.1113816,17.0385950,4996
51.1113516,17.0383733,0
51.1113083,17.0381899,0
51.1111983,17.0380116,6819
51.1111500,17.0378266,6148
51.1111016,17.0376516,4820
51.1109916,17.0375233,1893
51.1109900,17.0373500,4158
51.1110250,17.0371566,4074
51.1110633,17.0369666,7222
51.1110966,17.0367800,5689
51.1111250,17.0365850,8468
51.1111600,17.0363700,7174
51.1112116,17.0360833,4727
51.1112216,17.0358650,4698
51.1112533,17.0356883,5916
51.1112866,17.0354333,3834
51.1113266,17.0352366,4702
51.1113750,17.0350850,3380
51.1114333,17.0349333,1557
51.1114816,17.0347983,5714
51.1115100,17.0346450,3079
51.1115366,17.0344750,917
51.1115833,17.0343266,2483
51.1116450,17.0341450,2469
51.1116783,17.0339616,1387
51.1117233,17.0337366,0
51.1117600,17.0334816,2776
51.1118016,17.0332416,3146
51.1118566,17.0329600,5629
51.1118983,17.0326733,5745
51.1119466,17.0324200,4495
51.1119883,17.0322000,2061
51.1120416,17.0320033,2584
51.1120883,17.0318000,2778
51.1121233,17.0316033,9794
51.1121866,17.0314400,3677
51.1121966,17.0313333,1184
51.1120433,17.0312100,3940
51.1118333,17.0311550,0
51.1116916,17.0311000,1065
51.1115766,17.0310400,948
51.1114766,17.0309716,923
51.1113533,17.0309050,3239
51.1112183,17.0308533,9486
51.1111316,17.0308666,1563
51.1111150,17.0308683,0
51.1110716,17.0308300,0
51.1109816,17.0307650,0
51.1107766,17.0306683,3865
51.1105633,17.0305500,1061
51.1104150,17.0304733,0
51.1102600,17.0303700,1083
51.1101083,17.0302900,951
